name,star_rating,date,review,people,device
jereld camphor,5,"August 23, 2020","It is an excellent app. It provides a practical learning path, through test-taking. I have completed the quiz-test. I now have a deeper understanding of html5 semantic tags and of how audios and videos are embedded in html. And, at the end, I was awarded a certificate in respect of successfully completing all the quizes. Thank you so much. J.",79,Phone
Harrison H,5,"October 30, 2020","So far I like the app a lot. It may not look as good as other apps, but the way they present information is easy to understand, easy to navigate, and detailed. To me, it feels more straightforward. I was using SoloLearn, which I do like, but the way the lessons were laid out was very confusing, jumping back and forth between concepts and not explaining other concepts well. The only thing I would suggest to improve this app is some kind of community that's accessible directly in the app.",130,Phone
Julio LH,4,"December 6, 2024","A great resource for learning HTML or brushing up your knowledge, with brief and clear explanations and practical exercises. It would be even better if the app was updated to include more recent features and best practices.",None,Phone
Cecile Perret,5,"October 19, 2020","I really like this app and its partner apps (css and javascript). For me, I like to learn and read and test things out. The apps explains information really well while providing code with its output as well as the opportunity to edit the code and visualize the new output. This is very useful. Of course learning requires some extra effort beyond passive reading, but coupled with note taking and expanding on the definitions online if needed can really yield long-term learning effects.",40,Phone
Cathy Furman,4,"February 19, 2023","App works well, some bugs here and there with the ""try it yourself"", but it doesnt break the learning for me. The questions are mostly a bit too easy in the quizes, maybe a few interactive questions would be nice. Overall the info and explanations are good and straight forward.",17,Phone
Daniel Dolan,5,"May 20, 2020","Very easy and simple way of learning HTML5. Fantastic as a previous Web dev who's been out of the field for quite a number of years. Great way for beginners and returning developers to learn/re-learn html, CSS and Java.",18,Phone
Diego Schelling,5,"December 31, 2020","Great experience with this app. I have pretty much 0 experience with any sort of coding. It is user friendly and super easy to understand. Before you move on to Javascript, start with HTML and CSS.",29,Phone
A Google user,5,"April 27, 2020",So far this app has been excellent in teaching the essentials of html- I am using it to revise what I'd learnt way back. I like the way it frequently uses the try it yourself editor and has short quizzes to test your knowledge as you go. Definitely worth the money and is great not to have any annoying ads.,2,Phone
Sirena E,5,"November 24, 2022",Great app and I learned even more about html than I knew before. I would like to suggest if we could have the option to choose a different font when I get my certificate. Other than that everything about this app is great ! Highly recommend.,2,Phone
Augusto Pietroski,5,"May 6, 2020","The most addictive programming learning app of all times!! It's simple but very direct and straight to the point. I have already bought all this developer's programming learning app and I cannot wait for the next ones still!! Which one will it be? PHP, Python, SQL, Java, Kotlin...?",9,Phone
Mckinley Abiera,5,"September 3, 2021",It's very nice app that's really helps users to learn a lot about creating their own website. It explained well every single details. You just have to focus in order to help yourself. I would recommend this app to everyone that wants to learn about html.,17,Phone
SL Guitar Lessons,5,"July 16, 2022",So far great. One should know mobile browser experience is way different than a pc or a Mac though (or a Linux machine if that's your thing) I guess you will miss everything that's intended for the mouse when it comes to examples,7,Phone
Michael “Lonewulf3457” Barske,5,"January 16, 2023",A wealth of knowledge at either no cost or an extremely affordable cost. The creator of this is a gift to anyone who wants to learn some basic coding. Makes 'dipping your toes in' easily possible. Currently happily cruising my way past 25% completed in spare time between working my 10 hour shifts and raising my newborn.,2,Phone
Oluwaseun Ogunmade,5,"October 3, 2020",This app is incredible and very informative. I love that the modules are lined up with a quiz at the end of each module/lesson. 👍,7,Phone
Sunita Ekbote,5,"February 13, 2021",Everything you need to start and get clarity on. Just go thru everything and start implementing. Very well organized material.,15,Phone
Terrell Grissett,5,"February 18, 2022",I feel like it's definitely helping my learning process. The quizzes are good in retaining information. Everything I was looking for in the app.,7,Phone
Onur Aydemir,5,"March 30, 2023","I bought that app to make it a sidekick for an udemy html&css course. At final I've learned more by the app than course, and paid 1/4 of it. Great app thanks. I'll definitely consider to buy css and js apps too.",1,Phone
Kerry,1,"December 11, 2021","Cannot upload data from ""free"" version, because once the app is purchased that option is removed. Cannot use this app at all even after paying.",8,Phone
A Google user,5,"January 31, 2020",Edit: completed this course and using it still to reference my Udemy html and css course 38% in I decided to upgrade the $4 pro version to support the dev. Nice and easy html learning,7,Phone
Ananda Lal Tongchangya,5,"March 24, 2023",I had a great time ever with the free version app due to that I just started the pro version.....let's hope it must be super exciting for learning HTML coding,1,Phone
A Google user,5,"December 30, 2018",Best app to learn HTML. I love the Try It Yourself functionality a lot and the quizzes are fun.,9,Phone
Gregorio de Moraes,5,"March 29, 2023","I watched 100 tutorial videos, but this app is responsible for inserting HTML in my head. Thank you so much.",None,Phone
Masudi Ismael,5,"February 21, 2021",I had problem setting it up before. But control team assised me. Now I am enjoying the app. Fruitful easy to understand,9,Phone
Gareth Andrew Wood,5,"May 21, 2024","This is excellent, really love it. Clear and easy to understand learning.",None,Phone
Patrick Mcnelis,5,"September 12, 2022","Loved the Python Pro, so thought I give this a try, and so far through 4 quizzes I am liking this app as well. Definitely recommend.",4,Phone
Heather Hopkins,5,"October 23, 2020",So far I've been able to learn a good amount of HTML I never realized I would be able to do this. I really love this app. I can't wait till I am finished so I can go ahead and use what I've learned.,2,Phone
Joe Hague,5,"December 4, 2020",Great app for learning from the ground up. Loads of great content and ideas fore your own projects,14,Phone
jacob patterson,5,"August 10, 2022","Nice little app. Spend the two bucks, trust me its worth it. Did exactly what I needed it to.",1,Phone
Tinotenda Micheal Madzunguruse,4,"February 7, 2021",I wish some codes were explained rather than being put without being explained but overal its a good app newbie friendly,7,Phone
Hakan AK,5,"May 25, 2022",Very good application to spend time when you are on the road.,None,Phone
A Google user,5,"October 29, 2019","Very good for Beginners in Web Development. Clean UI, does the Job. Overall: Good App",4,Phone
Paul Broadbent,5,"July 18, 2023","Really impressed guys, simple and straight to the point!",None,Phone
big smoke,5,"November 7, 2022","Straight to the point,good and easy to learn lessons and also pretty cheap. 10/10. No doubt.",1,Phone
Paulino Jouth,5,"July 24, 2021","Well organized, easy to use and practices.",11,Phone
Danny,4,"March 11, 2022",pretty straightforward and easy to use,None,Phone
A Google user,5,"May 11, 2019",Well paced lessons with relevant quizzes throughout.,4,Phone
Olawale Oludare,5,"July 8, 2020",One of the best i've ever seen. It made programming much much easier for me.,8,Phone
A Google user,5,"April 14, 2020",Great interface and content to learn,5,Phone
Josh Shoesmith,4,"October 21, 2020",It is and good way to learn and keep up your html skills,1,Phone
Charlie Bremner,5,"October 5, 2021",Easy to use and learn! Great app!,None,Phone
F Twn,4,"September 24, 2023",Very nice app worth the pro premium price,1,Phone
JAPA PRINTING,5,"June 12, 2020",Fun and easy learning program,5,Phone
Saba Tkebuchava,5,"January 13, 2021",It's just 5 day since I'm learning and i already think that i will be expert in future,1,Phone
Fadi Yazigi,5,"June 26, 2022","Excellent app for learning HTML5, way to go!",None,Phone
AbdurRehman PSKP01,4,"August 3, 2022",Best app for learning programing.,2,Phone
Astro Biological,5,"October 16, 2022",Very useful for a student such as myself,None,Phone
Remi Marchand,5,"August 31, 2020",Great way to concisely learn HTML,1,Phone
Carmen Romano,4,"August 5, 2021",Just got into it need sometime to add that 5th star .I would recommend this to anyone. CPRSR,2,Phone
LALAN Kumar,5,"June 22, 2023",Best app for learning web development.,None,Phone
Rajabali Boymatov,5,"August 30, 2021",l like this app thank you. i wish you every good thinks. be happy always.,None,Phone
Roger Kief,5,"July 18, 2023","A very good series, just do not have enough time.",None,Phone
Максим Чабанюк,5,"January 25, 2022",Awesome mobile app for learning front-end related stuff🤙,2,Phone
Barden Grewar,5,"February 20, 2023","Lovely I really enjoy this app, thank you!",None,Phone
夜食炒栗子,5,"January 24, 2021",I'm still learning...dunno worth or no worth you all recommend buy it,3,Phone
Marianah Games,5,"November 3, 2021","Kuhh...iti noh I'd komoyon doh barajal online, osonong kopio tii app, very good app. 5 Starr kah bo",None,Phone
John Chukwuma,1,"November 30, 2022",I thought the purchase said #570 why did you people took what you wrote there initially Because I don't understand just try and fix it plz,2,Phone
muncho jr,5,"July 28, 2023",Perfect app really enjoyed it.,None,Phone
Brian P. Morrissey,5,"February 24, 2021",Free app so 5 stars (so far),1,Phone
jonathan ndawula,5,"June 26, 2021",Amazing app to build coding skill,4,Phone
Rajan K,3,"June 19, 2022",Some output not correct,None,Phone
TAPAS SARKAR,5,"September 8, 2021",ultimate to learn html,None,Phone
Patrick Leponesa,5,"March 9, 2023",Awesome app I'm waiting for php app,None,Phone
Ellis Franklin Jr,5,"August 9, 2022",Great way to learn.,None,Phone
rajesh gopal,5,"May 23, 2023",Great app to learn,None,Phone
Diego Kaku,3,"August 31, 2022",Giving 1 star for the lack of updates,4,Phone
Ben bauer,5,"November 4, 2022",Very useful app,None,Phone
Nick Prior,5,"September 10, 2023",Well-designed lessons.,None,Phone
Nayan J,5,"January 5, 2021",Very good app .,2,Phone
Ab del,5,"March 8, 2021",very nice app,2,Phone
Sophanit Ret,5,"March 28, 2021",I love this app so much 💞😻,1,Phone
Valentin Grigoruță,5,"December 3, 2022","Wow, i love it 🥰",None,Phone
Desmond Marieno,5,"May 26, 2020",What you've been looking for ☺,None,Phone
